Season,Team1,Team2,Odds1
2013,1443,1242,20.5
2013,1278,1417,-3
2013,1390,1104,4.5
2013,1433,1276,3.5
2013,1272,1277,6
2013,1161,1257,10.5
2013,1217,1112,10
2013,1332,1387,5
2013,1139,1266,1.5
2013,1455,1211,6.5
2013,1102,1462,6.5
2013,1143,1393,7
2013,1235,1326,7.5
2013,1396,1231,12
2013,1314,1242,6.5
2013,1278,1196,8
2013,1195,1361,7.5
2013,1247,1279,4
2013,1228,1274,8
2013,1166,1181,6
2013,1266,1274,5.5
2013,1112,1326,3.5
2013,1393,1231,5
2013,1247,1455,5
2013,1332,1257,11
2013,1276,1242,1.5
2013,1277,1181,2
2013,1195,1196,14
2013,1393,1266,-4.5
2013,1455,1326,5
2013,1276,1196,3.5
2013,1181,1257,4
2013,1455,1257,5
2013,1276,1393,-6.5
2013,1276,1257,4
